date,vn30_volatility_index
2022-10-07,0.029381380209303552
2022-10-10,0.03057370027808544
2022-10-11,0.03217435594625358
2022-10-12,0.03433721587180564
2022-10-13,0.033811486846505465
2022-10-14,0.031451332822413434
2022-10-17,0.027964252427737646
2022-10-18,0.02468167913567268
2022-10-19,0.021106988432169186
2022-10-20,0.019271011985426054
2022-10-21,0.023527020894591903
2022-10-24,0.027047114165735457
2022-10-25,0.03231467479051759
2022-10-26,0.03307232757700082
2022-10-27,0.034922203361187704
2022-10-28,0.03259294376383867
2022-10-31,0.030342289331098365
2022-11-01,0.02602307440363355
2022-11-02,0.026534190683165124
2022-11-03,0.024046190369847703
2022-11-04,0.026766762191605932
2022-11-07,0.02758374692711467
2022-11-08,0.02905753743329134
2022-11-09,0.028410464230062174
2022-11-10,0.030202607173096595
2022-11-11,0.02848269186492288
2022-11-14,0.029414442394792715
2022-11-15,0.02886986497516909
2022-11-16,0.03950351548565999
2022-11-17,0.03961563304633551
2022-11-18,0.04077170366466085
2022-11-21,0.03882550869725468
2022-11-22,0.040243124761585376
2022-11-23,0.02906508528084206
2022-11-24,0.027098338943495736
2022-11-25,0.024622428816153667
2022-11-28,0.025811542710955294
2022-11-29,0.023793969817939582
2022-11-30,0.02524074951414929
2022-12-01,0.02674695168149951
2022-12-02,0.030163276298215153
2022-12-05,0.02964713166599733
2022-12-06,0.03137652217620874
2022-12-07,0.031005501378928827
2022-12-08,0.031347852901165346
2022-12-09,0.028748311383161095
2022-12-12,0.03001742453759463
2022-12-13,0.0277494253648201
2022-12-14,0.02614681643634267
2022-12-15,0.023775816395344235
2022-12-16,0.023499526667641806
2022-12-19,0.022127248265234704
2022-12-20,0.02312032164880311
2022-12-21,0.024496694285125492
2022-12-22,0.02434576738697282
2022-12-23,0.02384392117713524
2022-12-26,0.025515326948185788
2022-12-27,0.02486244514831326
2022-12-28,0.02397518354385956
2022-12-29,0.023293697988879588
2022-12-30,0.022975689298873996
